author	ntokens	year_of_birth
semlan99	13966	1976
a o	12946	1976
Friedan	12831	1976
Timmervik	12794	1976
Jimmie	12505	1976
Fruhn	12362	1976
Mizzteaze	12236	1976
Celavie	11801	1976
Sossan	11533	1976
Luvisen	11529	1976
evapeva	11400	1976
Lovisa75	11398	1976
nemosmamma	11312	1976
Limajo	11246	1976
sol75	11042	1976
limpa	10852	1976
värmeljus	10827	1976
ninnnna	10629	1976
Smurflisa	10576	1976
Flisan41	10195	1976
Wizard	10161	1976
Joti	10056	1976
AW76	559805	1977
Alfaqueen	345987	1977
fröken	291582	1977
Lioness	263954	1977
miljarden	231103	1977
Chaktio	217109	1977
Daimis	195884	1977
johjen	195118	1977
Alexe	192425	1977
plopp76	184190	1977
Älskade vovvsing	182770	1977
Tussa76	177069	1977
Sedek	175523	1977
Grande Rock	170985	1977
LittleMY	170469	1977
Nemi76	169025	1977
Fluortanten	166649	1977
Smetanina	166367	1977
q cat	162849	1977
monchichi76	161517	1977
AnkiC	160238	1977
passau	154050	1977
Baypower	145381	1977
Papi Jo	143516	1977
Mama Me	138086	1977
Mrs J	136938	1977
Enigmia	133937	1977
Kaa76	133513	1977
Katja77	132861	1977
fornminne	131920	1977
okt76	129425	1977
Jola	126346	1977
inga76	125957	1977
Annicka	124262	1977
Iskristall	117610	1977
Tiril	116975	1977
Smilla1976	113269	1977
Mare pacificum	113186	1977
Bradbury	113021	1977
lima76	109572	1977
Tuntalisa	105111	1977
Lingonbär	101919	1977
Milou3	99077	1977
Kakandi	98379	1977
Sjuttiosjuan	98038	1977
Lakrids	96580	1977
Uller	96270	1977
annie dark	95142	1977
Lisa1976	90990	1977
foodji	84416	1977
WilleViking	82566	1977
mimbo	81305	1977
Fru Brastad	80969	1977
Emsingen	78716	1977
plettis	77289	1977
Atjo	76792	1977
Lilla Lila	76211	1977
Gwen	73188	1977
Demona	72974	1977
Älskarminabarn	72603	1977
Jessa76	72544	1977
Nokkan	71979	1977
TheStar	71711	1977
kath	70440	1977
Zhna	69677	1977
msblaise	69245	1977
Tingeling76	68682	1977
Adnil76	66025	1977
snobben76	65879	1977
Tussebus	64968	1977
Lolisa	63955	1977
fia 76	63478	1977
SysterYster2	63170	1977
musiknallen	62951	1977
Sjuan	62926	1977
MollyMax	62184	1977
ellabella04	62123	1977
Mrskut	59627	1977
Bohuslän	59018	1977
asp76	58641	1977
MalinV	56480	1977
fotbollsfru	55843	1977
daddybear	54115	1977
ratwoman	53699	1977
women	52594	1977
Bellenellen09	52541	1977
AnneCharlotte	51891	1977
oki	51108	1977
HallWall	49353	1977
Anna76	48845	1977
Skorpion76	47367	1977
Novalie	43584	1977
Sandy76	42946	1977
krost	42426	1977
Esme	41835	1977
Tildas	41742	1977
Emjah	40938	1977
Tindragull	40580	1977
Perlan08	40564	1977
MoM76	40115	1977
Caroline76	39309	1977
zoi	39145	1977
dianmant76	38370	1977
A R	38129	1977
hugoboss	37811	1977
Liba	37731	1977
erimother	37375	1977
Mistress	36715	1977
MIL	36402	1977
Pondus	34429	1977
Ghettoblaster	32854	1977
Natasha76	32747	1977
Alex  mamma	32506	1977
skjuter illa	31271	1977
Nalle har ett blått hus	30956	1977
Clouds	30371	1977
Quartz	29774	1977
Mera76	29692	1977
Smillasmatte	29317	1977
Ninninio	29219	1977
Bus Norpan	28204	1977
Shk76	27593	1977
trollhona	27534	1977
Kräfta2009	27489	1977
basil	27296	1977
skånskan76	27129	1977
Greenbrae	26570	1977
lillan77	26450	1977
Esska	26232	1977
menta	26034	1977
Lady Maria	25348	1977
rosen76	24941	1977
Jenny76	24761	1977
Coccio	24337	1977
linlus	24178	1977
TrueBlood	23725	1977
Palle76	22937	1977
Malta2006	22383	1977
Snoffy	22215	1977
Hearts76	22183	1977
Chanel01	22070	1977
Astra	22015	1977
marengski	20859	1977
Maria Nabard	20298	1977
kinadockan	20275	1977
Erik76	20120	1977
mii76	20072	1977
Soltussen	19942	1977
Wimsy	19764	1977
Komänglar	19202	1977
akleyan	19100	1977
DollyD	18818	1977
Medveten	18657	1977
Karriärmamman	18436	1977
mamma1970	18352	1977
Sacajawea	18236	1977
lena76	18006	1977
Veronica76	17652	1977
wify	17262	1977
NinnaW	17197	1977
Martina76	16830	1977
Palleman	16763	1977
Flurstina	16711	1977
mammis76	16651	1977
Love76	16459	1977
Hamburgartjuven	15900	1977
mittliv	15768	1977
Moonlight	15732	1977
Lulle	15705	1977
kirseberg	15511	1977
Molls	15482	1977
Sippan76	15233	1977
HoppasPåEnTill	15052	1977
Chaotica	14922	1977
Blomman76	14887	1977
karusell	14872	1977
wa76	14705	1977
Rikkitikki	14667	1977
daisy76	14622	1977
Tilda och Thomas	14550	1977
moonlight	14445	1977
anna7607	14341	1977
Nellan10	14272	1977
Grynet09	14124	1977
Oklart	13948	1977
låle	13760	1977
Jo76	13590	1977
adromina	13576	1977
inkas	13238	1977
Knuts76	13051	1977
knäckis	12998	1977
Gamlamamman	12997	1977
Lee76	12949	1977
Johlin	12946	1977
sandy76	12938	1977
Katrin76	12789	1977
Emmet1976	12708	1977
Plantagen	12665	1977
Tuffsan	12651	1977
frítz76	12590	1977
sk76	12546	1977
Ars Amandi	12505	1977
Amazon	12478	1977
3flickor4pojkar7barnsmamma	11890	1977
Oh yes	11839	1977
Jeanettealice	11749	1977
Lillan090815	11614	1977
Kaka76	11529	1977
Z05	11408	1977
Renegade	11262	1977
Mejaochjag	11224	1977
Obzi	11199	1977
jenny76	10973	1977
alina 2012	10395	1977
Silvermalvan	10246	1977
Andje	10178	1977
Maggzan	10163	1977
makeupgirl	10062	1977
Brodsmulan	1546421	1978
Pyris	885203	1978
astro	573371	1978
Lindadjo	516632	1978
bubbelmaja	490539	1978
kicki08	480317	1978
Fjäril kär	466518	1978
Lorelei	451486	1978
lilla mej	427872	1978
sportpappa	427290	1978
luzorsus	413340	1978
Mania x2	381317	1978
Mirren	364342	1978
Kryztina	358043	1978
Alfonsina	314025	1978
sydney	304199	1978
Challe N	303227	1978
Irma01	286906	1978
Lilla JJ	284941	1978
tessan27	283006	1978
Lilla Fjun	255181	1978
Thessis77	242082	1978
Tittij	237399	1978
ViSkaBliTre	230056	1978
Kurreburre	218373	1978
Bumblebina	212698	1978
nötskrikan	204090	1978
Tattyn	199042	1978
Molina	197647	1978
Sockerkakan	196509	1978
dec06	184449	1978
lillälva	180043	1978
sommar 77	179444	1978
Lilli77	177777	1978
Tida77	174308	1978
Adoniram	168279	1978
enola	167522	1978
